,Headline,Lexis Nexis
0,Summa Equity acquires Milarex,0
1,Media Invitation re Canam Group Annual General Meeting,1
2,Scandi Standard's Extraordinary General Meeting authorised the new issue of shares for completion of the acquisition of Manor Farm,0
3,ASSA ABLOY acquires Ameristar,0
4,US BioTek Laboratories Announces Jack Frausing as CEO,1
5,"IPO, refinancing and acquisitions",0
6,Share issue registration related to ComeOn acquisition,0
7,"BCSC Cease Trade Order re Aegis Investment Management (Golf), Inc. &amp;Tajac Capital Inc.",1
8,FRANKS INTRODUCES AMENDMENT TO PREVENT IRAN FROM OBTAINING NUCLEAR WEAPONS .,1
9,OTCQB Water Stocks News: Two Rivers (OTC QB: TURV) Discharges Wedbush as Exclusive Financial Advisor,1
10,"IK has agreed to acquire Trigo, the leading global specialist of quality inspection, from AtriA",0
11,XI Eurasian Media Forum Draws Praise as Leading East-West Platform,1
12,Gate Driver Unit (GDU) Market for Power Transistors,1
13,ACCUCOMS Launches Worldwide Competition for Librarians,1
14,FISKARS CORPORATION: ACQUISITION OF OWN SHARES 08.11.2018,0
15,Tradedoubler purchases remaining shares in R-Advertising,0
16,"Hexagon acquires FTI, a leading provider of manufacturing software solutions",0
17,"OSC re SAXON FINANCIAL SERVICES LTD., SAXON CONSULTANTS",1
18,International Emergency Medical Training for Teens Launches IndieGoGo Campaign,1
19,Hedin Bil carries through the deal to acquire BMW-authorized dealer Englunds Bil in Luleå,0
20,Xenos: Drummond Group Certifies Xenos terminalONE Transport v2.2 as OASIS ebXML Message Service v2.0 Interoperable,1
21,Instalco grows in the Oslo region through the acquisition of AS Elektrisk,0
22,Rejlers expands in the Stockholm region through acquisition of Sonika,0
23,Camp Corral Names Lisa Brown as New Chief Development Officer,1
24,"HEXPOL's acquisition of VALLEY Processing, a well-known U.S. Rubber Compounder, is completed",0
25,Tieto strengthens its position as a business renewal partner for financial services customers - acquires Emric,0
26,TeliaSonera acquires Ipeer AB,0
27,IAR Systems provides development tools for Microsemi's SmartFusion2 SoC FPGAs,0
28,Trelleborg acquires leading large solid tire distributor and increases its geographical reach,0
29,India- Zee Media Corporation Appoints Arun Kapoor as Additional Director,1
30,ASSA ABLOY acquires Silvana and Metalika in Brazil,0
